"id","faculty_name","faculty_designation","faculty_organisation","faculty_linkedin","image_name","added_date","modified_date","status"
"159","Mathew Chacko","Partner, Spice Route Legal | Founder,  Data and Privacy Hub",NULL,"https://www.linkedin.com/in/mathewchacko1/?originalSubdomain=in","mathew-chacko-1627309987.jpg","1627143398","1627310032","A"
"160","Santrupt Sathpathy","Attorney, Kochhar & Co.",NULL,,"Not_Given","1627143688",NULL,"A"
"161","Sarthak Doshi","Associate, Ikigai Law",NULL,"https://www.linkedin.com/in/sarthak-doshi-97431311b?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app","sarthak-doshi-1709373715.jpeg","1627143717","1709373741","A"
"162","Smriti Chandrashekhar","Associate, Hintze Law PLLC (United States)",NULL,,"Not_Given","1627143817",NULL,"A"
"163","Tahira Karanjawala","Principal Associate, Karanjawala & Company",NULL,,"Not_Given","1627143873",NULL,"A"
"164","Pallavi Chandrasekhar","Principal Associate, LawSikho, ex-Surana & Surana International Attorneys",NULL,"https://www.linkedin.com/in/pallavi-chandrasekhar-01a66a72/","pallavi-chandrasekhar-1627156196.jpeg","1627156196",NULL,"A"
"165","Aarthy Venkat","Senior Advisor- Data Privacy, Legal and Product at SignDesk",NULL,"https://www.linkedin.com/in/aarthy-venkat-76928132/","aarthy-venkat-1628738874.jpg","1628738713","1628738886","A"
"166","Lindsey Mignano","Shareholder at Smith Shapourian Mignano PC",NULL,"https://www.linkedin.com/in/lindsey-mignano-477a0167/","lindsey-mignano-1628850023.jpg","1628850023",NULL,"A"
"167","Pooja Jagwani","Founder at Buzz Up Marketing | LinkedIn Marketer | Social Media Marketer | Contributing to B2B businesses in scaling up, with Lead Generation",NULL,"https://www.linkedin.com/in/pooja-jagwani/","pooja-jagwani-1628933834.jpg","1628933834",NULL,"A"
"168","Priyanka Karwa","Director of Employability and Placements at LawSikho",NULL,"https://www.linkedin.com/in/priyanka-karwa-4a6a75111/","priyanka-karwa-1628933912.jpg","1628933912","1669291979","A"
