"id","course_id","module_name","added_date","modified_date","status"
"1125","4","Rent control legislations","2022-06-17 02:25:05",NULL,"A"
"1126","4","Stamp Duty on real estate transactions","2022-06-17 02:26:29",NULL,"A"
"1127","4","Real estate financing transactions","2022-06-17 02:27:48",NULL,"A"
"1128","189","The American Legal System and Real Estate Sector","2022-06-18 02:03:31",NULL,"A"
"1129","189","Real estate deal structuring and transactions","2022-06-18 02:05:36",NULL,"A"
"1130","189","Real estate Investment Vehicles","2022-06-18 02:07:21","2022-06-18 03:09:20","D"
"1131","189","Due Diligence in Real Estate Transactions","2022-06-18 02:11:05","2022-06-18 03:08:20","A"
"1132","189","Drafting and Negotiation in Real Estate Transactions","2022-06-18 02:13:05",NULL,"A"
"1133","189","Compliance Related work in Real Estate Transactions","2022-06-18 02:14:51",NULL,"A"
"1134","189","Taxations aspects in Real Estate Transactions","2022-06-18 02:15:25",NULL,"A"
"1135","189","Navigating through various platforms to get corporate paralegal opportunities","2022-06-18 02:18:43",NULL,"A"
"1136","195","Overview of Corporate and Personal Income Tax in the US","2022-09-25 12:37:00",NULL,"A"
"1137","195","Deductions and relaxations under US Tax Laws","2022-09-25 12:38:37",NULL,"A"
"1138","195","Emerging themes under US Tax Laws","2022-09-25 12:39:33",NULL,"A"
"1139","195","How to perform tax compliance work for US residents and US businesses","2022-09-25 12:40:49",NULL,"A"
"1140","195","Taxation of important business transactions in the US","2022-09-25 12:42:15",NULL,"A"
"1141","195","Taxation of International Income by the US: Key Scenarios","2022-09-25 12:44:42",NULL,"A"
"1142","195","Implications of violation of tax laws in the US","2022-09-25 12:46:27",NULL,"A"
"1143","195","Overview of state income taxes in the US","2022-09-25 12:48:37",NULL,"A"
"1144","195","FATCA","2022-09-25 12:50:03",NULL,"A"
"1145","199","Concept and Framework of Corporate Governance","2022-11-25 02:33:51",NULL,"A"
"1146","199","Board Effectiveness, Ethics and Governance","2022-11-25 02:34:38",NULL,"A"
"1147","199","How to obtain information about a company","2022-11-25 02:39:14",NULL,"A"
