"id","course_industry_id","course_id","industries_id","status","added_date","modified_date"
"390","51","98","2","A","1598948456",NULL
"391","51","98","3","A","1598948456",NULL
"392","51","98","4","A","1598948456",NULL
"393","51","98","5","A","1598948456",NULL
"394","51","98","6","A","1598948456",NULL
"395","51","98","7","A","1598948456",NULL
"396","51","98","8","A","1598948456",NULL
"397","51","98","9","A","1598948456",NULL
"398","51","98","10","A","1598948456",NULL
"399","51","98","11","A","1598948456",NULL
"400","51","98","12","A","1598948456",NULL
"401","51","98","13","A","1598948456",NULL
"402","51","98","14","A","1598948456",NULL
"403","51","98","15","A","1598948456",NULL
"404","51","98","16","A","1598948456",NULL
"405","51","98","17","A","1598948456",NULL
"406","51","98","18","A","1598948456",NULL
"407","51","98","19","A","1598948456",NULL
"408","51","98","20","A","1598948456",NULL
"409","51","98","21","A","1598948456",NULL
"410","51","98","22","A","1598948456",NULL
"411","51","98","23","A","1598948456",NULL
"412","51","98","24","A","1598948456",NULL
"413","51","98","25","A","1598948456",NULL
"414","51","98","26","A","1598948456",NULL
"415","51","98","27","A","1598948456",NULL
"416","51","98","28","A","1598948456",NULL
"417","51","98","29","A","1598948456",NULL
"418","51","98","30","A","1598948456",NULL
"419","51","98","31","A","1598948456",NULL
"420","51","98","32","A","1598948456",NULL
"421","51","98","33","A","1598948456",NULL
"422","51","98","34","A","1598948456",NULL
"423","51","98","35","A","1598948456",NULL
"424","51","98","36","A","1598948456",NULL
"425","51","98","37","A","1598948456",NULL
"426","51","98","38","A","1598948456",NULL
"427","51","98","39","A","1598948456",NULL
"444","54","105","4","A","1601710318",NULL
"445","54","105","5","A","1601710318",NULL
"446","54","105","19","A","1601710318",NULL
"447","54","105","32","A","1601710318",NULL
"448","54","105","34","A","1601710318",NULL
"449","54","105","38","A","1601710318",NULL
"464","53","104","12","A","1604303789",NULL
"465","53","104","14","A","1604303789",NULL
"466","53","104","15","A","1604303789",NULL
"467","53","104","16","A","1604303789",NULL
"468","53","104","19","A","1604303789",NULL
"469","53","104","20","A","1604303789",NULL
"470","53","104","21","A","1604303789",NULL
"471","53","104","23","A","1604303789",NULL
"472","53","104","35","A","1604303789",NULL
"473","53","104","42","A","1604303789",NULL
"474","56","99","1","A","1607160673",NULL
"475","56","99","2","A","1607160673",NULL
"476","56","99","3","A","1607160673",NULL
"477","56","99","4","A","1607160673",NULL
"478","56","99","5","A","1607160673",NULL
"479","56","99","6","A","1607160673",NULL
"480","56","99","7","A","1607160673",NULL
"481","56","99","8","A","1607160673",NULL
"482","56","99","9","A","1607160673",NULL
"483","56","99","10","A","1607160673",NULL
"484","56","99","11","A","1607160673",NULL
"485","56","99","12","A","1607160673",NULL
"486","56","99","13","A","1607160673",NULL
"487","56","99","14","A","1607160673",NULL
"488","56","99","15","A","1607160673",NULL
"489","56","99","16","A","1607160673",NULL
"490","56","99","17","A","1607160673",NULL
"491","56","99","18","A","1607160673",NULL
"492","56","99","19","A","1607160673",NULL
"493","56","99","20","A","1607160673",NULL
"494","56","99","21","A","1607160673",NULL
"495","56","99","22","A","1607160673",NULL
"496","56","99","23","A","1607160673",NULL
"497","56","99","24","A","1607160673",NULL
"498","56","99","25","A","1607160673",NULL
"499","56","99","26","A","1607160673",NULL
"500","56","99","27","A","1607160673",NULL
"501","56","99","28","A","1607160673",NULL
"502","56","99","29","A","1607160673",NULL
"503","56","99","30","A","1607160673",NULL
"504","56","99","31","A","1607160673",NULL
"505","56","99","32","A","1607160673",NULL
"506","56","99","33","A","1607160673",NULL
"507","56","99","34","A","1607160673",NULL
"508","56","99","35","A","1607160673",NULL
"509","56","99","36","A","1607160673",NULL
"510","56","99","37","A","1607160673",NULL
"511","56","99","38","A","1607160673",NULL
"512","56","99","39","A","1607160673",NULL
"513","56","99","40","A","1607160673",NULL
"514","56","99","41","A","1607160673",NULL
"515","56","99","42","A","1607160673",NULL
"516","56","99","43","A","1607160673",NULL
"517","56","99","44","A","1607160673",NULL
"518","56","99","45","A","1607160673",NULL
"519","56","99","46","A","1607160673",NULL
"520","57","121","1","A","1611641754",NULL
"521","57","121","3","A","1611641754",NULL
"522","57","121","4","A","1611641754",NULL
"523","57","121","5","A","1611641754",NULL
"524","57","121","6","A","1611641754",NULL
"525","57","121","7","A","1611641754",NULL
"541","23","22","1","A","1616235870",NULL
"542","23","22","2","A","1616235870",NULL
"543","23","22","6","A","1616235870",NULL
"544","23","22","7","A","1616235870",NULL
"545","23","22","8","A","1616235870",NULL
"546","23","22","9","A","1616235870",NULL
"547","23","22","20","A","1616235870",NULL
"548","23","22","32","A","1616235870",NULL
"549","23","22","34","A","1616235870",NULL
"550","23","22","39","A","1616235870",NULL
"588","61","145","11","A","1625047399",NULL
"589","61","145","12","A","1625047399",NULL
"590","61","145","13","A","1625047399",NULL
"591","61","145","14","A","1625047399",NULL
"592","61","145","15","A","1625047399",NULL
"593","61","145","16","A","1625047399",NULL
"594","61","145","18","A","1625047399",NULL
"595","61","145","19","A","1625047399",NULL
"596","61","145","20","A","1625047399",NULL
"597","61","145","35","A","1625047399",NULL
